tale_id,rights_status,content_description,set,sampling_version,type_count,collection,volume_no,source_ref,atu_labels_json
era_vene_1_503_1,open,[Царевна-лягушка].,core,v1_20251230,3,"ERA, Vene",1,"ERA, Vene 1, 503/4 (1)","[""402""]"
era_vene_1_515_1,open,"[По пьяне мужик спорит, что сможет принести ночью с каменки камень. Идёт в баню, берёт камень, его кто-то хватает за руку. Слышит голос девушки, которая говорит, что отпустит, только если замуж возьмёт. Мужик соглашается, девушка отпускает._x000D_
Через время девушка является ему во сне, мучает его. Свадебный поезд останавливается у бани, выводят невесту из-под пола. Проклятая невеста не идёт в церковь. Говорит, что пусть поп кинет своего ребёнка в печь, потому что это подмёныш чертей, которые её в бани засадили. Поп слушается, мужик и проклятая девушка женятся.]",coverage,v1_20251230,1,"ERA, Vene",1,"ERA, Vene 1, 515/6 (1)","[""410""]"
era_vene_12_105_22,open,Снегурочка.,core,v1_20251230,3,"ERA, Vene",12,"ERA, Vene 12, 105 (22)","[""703*""]"
era_vene_12_137_98,open,Иван-дурак.,core,v1_20251230,4,"ERA, Vene",12,"ERA, Vene 12, 137/41 (98)","[""530""]"
era_vene_12_189_1,open,Два брата.,core,v1_20251230,2,"ERA, Vene",12,"ERA, Vene 12, 189/94 (1)","[""735A""]"
era_vene_12_440_19,open,Снегурочка.,core,v1_20251230,3,"ERA, Vene",12,"ERA, Vene 12, 440/1 (19)","[""703*""]"
era_vene_12_501_1,open,[Морозко].,core,v1_20251230,5,"ERA, Vene",12,"ERA, Vene 12, 501/6 (1)","[""480D*""]"
era_vene_12_541_1,open,Липунюшка [Мальчик-с-пальчик].,core,v1_20251230,2,"ERA, Vene",12,"ERA, Vene 12, 541/4 (1)","[""700""]"
era_vene_12_592_4,open,Снегурочка.,core,v1_20251230,3,"ERA, Vene",12,"ERA, Vene 12, 592/4 (4)","[""703*""]"
era_vene_12_95_18,open,"Мальчик-с-пальчик. [Мужик бросает отрубленный палец за печку. Палец становиться мальчиком, он говорит, что отнесёт отцу обед в поле. По пути на дороге соломинка - ему не перелезть. Мальчик зовёт отца, мужик слышит голос, но мальчика не видит. Когда находит, спрашивает, откуда от взялся, мальчик отвечает, мужик радуется.]",core,v1_20251230,2,"ERA, Vene",12,"ERA, Vene 12, 95/7 (18)","[""700""]"
era_vene_12_97_19,open,Мороз[ко].,core,v1_20251230,5,"ERA, Vene",12,"ERA, Vene 12, 97/101 (19)","[""480D*""]"
era_vene_13_106_14,open,"Холостой Митя встречает на реке девушку, которая зовёт его гулять, он отказывается. Ночью она опять приходит и зовёт гулять, на следующую ночь тоже самое. Девка лезет целоваться, но Митя видит у неё рога. На утро он молится и плачет._x000D_
Барин зовёт Митю покойнику читать, вихром кони уносят в ""соседнюю деревню"". У колодца девушка учит, как защититься от покойницы-колдуньи. После похорон (где стягает покойницу) Митя встречает девушку у горелого пня и женится на ней. Превращаются в голубей и прилетают в Мите домой, где пропадают поп и попадья. Митяна жена хочет навестить родителей, её отец сулит богатсво, он отказывается, просит лошадей. Отец-колдун отдаёт коней на время, они превращаются в попа и попадью.",core,v1_20251230,3,"ERA, Vene",13,"ERA, Vene 13, 106/24 (14)","[""307"", ""410""]"
era_vene_13_137_16,open,"[У попа и попадьи было много земли, не могут найти работника в помощь. Приходит мужик наниматься, плату требует - три щелчка в лоб. У батрака неведанная сила, поп и пападья хотят его извести от страха. Поп и попадья задают батраку невыполнимые задания: поймать медведя и посадить на цепь, привезти муку от мельника-колдуна, взять с барина оброк._x000D_
Батрак едет к барину на повозке с медведем, чёрт (с мельницы) в упряжке. Барин обещает отдать деньги, если батрак привезёт от беса баринову дочку. Барин и бес играют в карты на шелчки, убатрака защищает железная шапка. Батрак разбивает голову беса медной палкой, освобождает дочку. Барин отдаёт деньги, батрак возвращается к попу. Батрак щёлкая попа по лбу, на второй шёлчок поп умирает.]",core,v1_20251230,3,"ERA, Vene",13,"ERA, Vene 13, 137/50 (16)","[""650A"", ""1000"", ""1060""]"
era_vene_13_15_1,open,[Морозко].,core,v1_20251230,5,"ERA, Vene",13,"ERA, Vene 13, 15/9 (1)","[""480D*""]"
era_vene_13_175_18,open,"Царица Милитриса хочет сгубить мужа, сильного царя Дадона, потому что любит другого, хилого царя Гвидона. ""Хворая"" цариса посылает мужа в лес убить вепря, куда он едет без свиты, только с дядькой. На них наподает войско Гвидона и царь возвращается обратно в город, но все ворота заперты; он бросается в море, чтобы не дасться живым. Милитриса встречает Гвидона, но её сын Бова не привечает отчима._x000D_
Гвидон видит сон, который толкуют как желание Бовы убить Гвидона, чтобы отомстить за смерть отца. Бову кидают в темницу, где ему прислуживает девка Чарнавка. Милитриса печёт Бове отравленные пироги, Чарнявка предупреждает Бову, выпускает из темницы. Бова уплывает с корабельщиками прикидываясь простолюдином. Остается в царстве Бранбауса, где прислуживает царевне Мальчигрии, которая положила на него глаз. Её приставания ему не нравятся, просится конюхом. После тяжелой работы идет спасть на три дня._x000D_
Бранбаусого царства атакует персидский царь, которые хочет Мальчирию, она его не любит. Бова признается Мальчирии, что он царский сын, они соглашаются поженится. Бова разметает войско метлой, убивает персидского царевича освобоздает Бранбауса, но народ не хочет царем простолюдина и отправляют Бову к персидскому царю с грамотой, где приказ его убить. Пирсидский царь кидает Бову в темницу, персидская царевна Лукопёра влюбляется в него, Бова отказывается жениться. Бова сбегает из тюрьмы и возвлащается в Бранбаусово царство к невесте. Они успляются персидского царя и сбегают в царство Бовы. Мальчигрия рожает мальчика. Бова оставляет жену с сыном, чтобы сразиться с Гвидоновым войском. Мальчигрия становиться батрачкой, через семь лет семье воссоиденяется, когда Бова признает сына по своему перстню.",core,v1_20251230,6,"ERA, Vene",13,"ERA, Vene 13, 175/202 (18)","[""707""]"
era_vene_13_272_23,open,"В рыболовецкой деревне жил богач с семьёй. Но из года в год сети пустые, обеднел рыбак, и жена его с тоски померла. Рыбак ничему сына не учит, только рыбачит безрезультатно. Рыбак умирает, сыну надо его хоронить. Он идёт за помощью к богатому соседу - бесполезно; идёт за советом к бедному, тот посылает его к попу. Справляют похороны._x000D_
От сына требуют возврата отцовских долгов, он раздаёт вещи в избе. Приходит богач за долгом, ему достаются образа - всё остальное забрали, но образ Миколы Чудотворца сын Ваня просит оставить и молится иконе о помощи._x000D_
Утром приходит старичок, просит краюху хлеба. Делят с Ваней последний хлеб. Ваня просит старичка остаться и научить его жить. Старичок соглашается, если они всё будут делить пополам. Старичок ведёт хозяйство, Ваня всю зиму лежит на печи. По весне старичок велит ваня делять кирпичи, сломать сени, делают плот. Сквозь бурю довозят кирпичи на плоту на ярмарку. Платить за пристань нечем, Ваня идёт к царю попросить об отмене платы. Царь просит почитать псалтырь по умершей дочке-_x000D_
колдовке. Старичок учит, как от неё защититься. На третью ночь Ваня одевает на колдунью крест и заставляет молиться._x000D_
Ваня женится на царевне и получает богатое приданое. Теперь всё надо делить со стариком, золото разделили, с женой сложнее. Старичок велит поставить жену в угол и разрубить топором, Ваня слушается. Выбегают два козла - черти, что в жене сидели. Старичок благодарить Ваню за то, что обратился к нему с молитвой.",coverage,v1_20251230,1,"ERA, Vene",13,"ERA, Vene 13, 272/93 (23)","[""849*"", ""307""]"
era_vene_13_28_3,open,"Мать-рысь, сжигают шкуру - остается человеком.",core,v1_20251230,3,"ERA, Vene",13,"ERA, Vene 13, 28/30 (3)","[""402""]"
era_vene_13_318_27,open,"Царевен похищают, старшую - орел, среднюю сокол, младшую медведь, богатырь вызывается их спасти. Приходит в орлиное царство, старшая дочь не хочет возвращаться, орел показывает богатырю портреты невест, он выбирает ту, которую уже 99 сватали, но все в полону. Орел даёт богатырю кран от бочки и три пера._x000D_
Богатырь приходит в царство сокола, всё повторяется. Сокол даёт три пера и полотенце-скатерть. Приходит к медведю, всё повторяется. Медведь даёт три шерстинки и гусли-самоигры._x000D_
Приходит в царство желанной невесты, его сразу в тюрьму, где седят 99 изхудалых молодцов, богатырь кормит-поит с помощью волшебных вещей. Царевна хочет их купить, богатырь отдаёт за позволение разделись с ней постель. Богатырю удаётся её поцеловать, они женятся._x000D_
Царевна уежает, запрящая ходить в одну из горниц, он ослушивается. Там закованный старик, бочка крови и бочка смолы. Он просит пить, богатырь отказывается, просит остричь бороду - отстригает. Старик вырывается, убивает богатыря и сжигает тело. Сокол, орёл, медведь чуют вонь, оживляют богатыря мёртвой и живой водой. Чтобы найти жену, отправляется к старушке и собирает 12 коров с помощью затьёв, получает кобылу - заколдованую жену.",core,v1_20251230,4,"ERA, Vene",13,"ERA, Vene 13, 318/35 (27)","[""552"", ""580"", ""302С*"", ""556А*""]"
era_vene_13_37_5,open,"Женя брата оговаривает сестру, брат отрубает ей руки. Сестра омывает руки целебной водой из колодца, они отрастают обратно.",core,v1_20251230,2,"ERA, Vene",13,"ERA, Vene 13, 37/42 (5)","[""706""]"
era_vene_13_43_6,open,[Царевич и лисичка].,core,v1_20251230,3,"ERA, Vene",13,"ERA, Vene 13, 43/53 (6)","[""550""]"
era_vene_13_635_20,open,"[Два друга обещают позвать друг друга на свадьбу, когда женятся. Один из них умирает. Другой едет жениться мимо кладбища, идёт на могулу попрощаться. Там сидит покойный друг, благодарит, что навестил. Живой возвращается, а свадебный поезд пропал. Поздже оказывается, что он был на кладбище не 10 минут, а 60 лет, и что сам он и его невеста уже старики.]",coverage,v1_20251230,1,"ERA, Vene",13,"ERA, Vene 13, 635/8 (20)","[""470""]"
era_vene_13_73_9,open,[Корова помогает дочке выполнять задания мачехи].,coverage,v1_20251230,1,"ERA, Vene",13,"ERA, Vene 13, 73/9 (9)","[""511""]"
era_vene_14_451_7,open,Салавей разбойник и Илья Мурамец.,core,v1_20251230,3,"ERA, Vene",14,"ERA, Vene 14, 451 (7)","[""650A""]"
era_vene_15_134_3,open,"[Мачеха посылает падчерицу в баню прясть лён. Она берёт лён и петуха и идёт в баню. Туда приходит красивый парень - чёрт - и сватает её. Она просит принести ей одежду, чёрт приносит и пропадает с криком петуха. Мачеха посылает свою дочку в баню, увидя какое добро падчерица получила. Дочка берёт лён, но не петуха. Её тоже сватает чёрт, но петух не кричит, и чёрт разрывает дочку, оставляе шкуру на каменке].",core,v1_20251230,3,"ERA, Vene",15,"ERA, Vene 15, 134/6 (3)","[""480A""]"
era_vene_15_308_4,open,"[Дед, баба и их дочери пошли ткать пояса в баню. Туда просится погреться волк, пускают. Все кроме Тани - дедушкиной дочки, пугаются и убегают. Волк сватает её за своего сына, Таня отвечает, что у неё нет приданого. Волк говорит сыну принести то, что невеста требует. Всё приносится и девушка соглашается. Выходят из бани, она просит петухов запеть, чёрт и сын проваливаются, Таня остаётся с приданым._x000D_
Мачеха посылает свою дочку в баню, увидя новое платье на падчерице. Дочка впускает волка в баню, он сватает её за сына, дочка говорит, что у неё нет приданого, сын приносит. Девка ничего не может больше просить, волк её съедает].",core,v1_20251230,3,"ERA, Vene",15,"ERA, Vene 15, 308/12 (4)","[""480A""]"
era_vene_15_433_1,open,"[У царя Картауза после двуста лет рождается сын Еруслан Лазарич. Ерусланова сила такова, что руки и ноги отрывает. По наущению баяр царь помещает сына жить в отдельный дворец. Семь лет спустя, Еруслан решает обзавестись лошадью. Встречает под дубом Иванушку белую рубашку, который говорит где поймать коня. Еруслан бьёт лошадь кулаком по лбу и отводит к себе во дворец._x000D_
Идёт к отцу просить сбрую, мать даёт сбрую и оружие. Еруслан отправляется в путь, попадает на поле с побитой богатырём Иван Седларусским ратью. Находит шатёр богатыря, они мерюют силы, братаются._x000D_
Еруслан отправляется за невестой ""всех краше"" в Валхамеево царство по совету королевны Ивана. Там встречается с тремя сестрами, убивает старших за неприятный ответ, младшая посылает в Бахарухарской царство к Настасье._x000D_
Еруслан возвращается в родное царство, которое под атакой царя Данила/Дадона. Побеждает неприятельскую рать, Данон остаётся защищать царство._x000D_
Еруслан отправляется к Настасье Бугругоравне. В том царстве стоит защитником Ивашка белая рубашка. Они борятся, Еруслан убивает Ивана. Настасью отправляют на съедение змею. Иван приходит на берег, где ждёт змея Настасья. Говорит ей разбудить его, когда змей появится. Змей выходит из воды - Настасья не может богатыря разбудить, только ожог от слезы помогает._x000D_
Еруслан сбивает две головы змея, змей просит пощады за драгоценный камень. Отдаёт камень, но Еруслан его всё равно убивает. Отец Настасьи предлагает Еруслану женидьбу, он соглашается, но едет домой просить благословения. Дома царь Даниил убил жен Картуза и Лазаря, самих царей ослепил и посадил в темницу. Отцы посылают Еруслана к пламенному царю за желчью, которая вернёт зрение. По дороге берёт у обезглавленого богатыря Роганея меч, которым можно убить огненного царя. Убивает огненного царя одним ударом меча, оживляет Роганея, они братаются. Еруслан смазывает глаза отцам и рыцарям, они прозревают; убивает жену Даниила и ослепляет его._x000D_
Еруслан женится на Настасье, поздже спрашивает, если ли девица краше неё в Солнечном царстве. Она отвечает, что есть, Еруслан уежает проверить. Настасья рожает сына, его называут незаконорожденными, потому что отца нет. В пять лет мальчик решает поехать искать отца. Приежает в Солнечное царство, вызывает отца на поединок, Еруслан прижимает сына копьём к земле, но узнаёт по перстню._x000D_
Еруслан наказывает сыну, тоже Еруслану, ехать к Ивану Седларусскому. Сын побеждает богатыря и сравнивает себя с богом. На пути после боя встречает старика, который забирает у него за пахвальбу силу.]",core,v1_20251230,3,"ERA, Vene",15,"ERA, Vene 15, 433/52 (1)","[""650A""]"
era_vene_16_744_22,open,[Якорий убивает змея].,core,v1_20251230,2,"ERA, Vene",16,"ERA, Vene 16, 744 (22)","[""300""]"
era_vene_16_548_4,open,"[Гармонист всречает девушку, которая говорит, что он теперь её жених. До свадьбы девушка остаётся лягушкой. На свадьбе лягушка обращается красавицей. После свадьбы она обращается кобылой, велит продать на ярмарке, но без узды, иначе останется кобылой. Продаёт её много раз - богатеет. Случайно продаёт вместе с уздечкой. Через три года идёт мельнику, кому продал чтобы жену забрать. Мельник не продаёт, узду не украсть, друг передаёт. Жена возвращается домой - тощая, и боль ше не оборачивается.]",core,v1_20251230,3,"ERA, Vene",16,"ERA, Vene 16, 548/51 (4)","[""402"", ""325""]"
era_vene_2_161_14,open,Сказка про царей.,core,v1_20251230,6,"ERA, Vene",2,"ERA, Vene 2, 161/5 (14)","[""707""]"
era_vene_2_622_5,open,Сказка об аленьком цветочке.,core,v1_20251230,2,"ERA, Vene",2,"ERA, Vene 2, 622/6 (5)","[""425C""]"
era_vene_2_748_27,open,"Рассказ про чертей. [Три человека просятся ночевать к старухе-чертихе. Она укладывает их в конюшне, утром не выпускает. Два выскочили и убежали, третий остался. Отмаливает старуху три ночи, от чертей защищает круг. На третью ночь пришёл сам чёрт, человек оглянулся в его глаза, его схватили и растерзали.]",core,v1_20251230,3,"ERA, Vene",2,"ERA, Vene 2, 748/9 (27)","[""307""]"
era_vene_4_367_1,open,"Ванюшка-дурачек. [Мужик просит сыновей покараулить три ночи после смерти. Первым должен идти старший сын, но он просит идти младшего. Ванюшка приходит на могилу, ударяет кием вил, могила рассыпается и отец встаёт. Отец призывает Сивку-бурку, пролезает через уши и становиться молодым, ночь ездит и возвращается в могилу._x000D_
На следующую ночь всё повторяется, когда Ваня идёт вместо среднего брата. На третью ночь идёт опять, потому что братья отказались. Перед уходом в могилу, отец отдаёт Сивку-Бурку Ванюше._x000D_
Царь отдаёт свою дочь тому, кто поцелует её, через 12 венцов. Братья не дают Ванюшке идти, но он идёт в лес, призывает Сивку, целует только церез 10 венцов и пропадает. На следующий день, всё повторяется, но целует через 11 венцов. На третьй день всё повторяется, царевна ударяет его в лоб перстнем. Ваня зматывает лоб._x000D_
Царевна ищет своего жениха, призывая всех на пир. Братья приводят Ванюшу на пир, он и царевна женяться. Спустя время, царь видит барана злоторогого (потом золотую свинью, потом кобылу и одиннадцать жеребцов) и велит зятьём их поймать. Братья едут на хороших конях, Ваня на водовозке, сидя задом наперёд. Ваня убивает кобылу за городом и призывает Сивку-бурку. Ловит барана, раскидывает шатёр в поле. Отрезает пальцы и кожу у свояков, продавая животных._x000D_
По возвращении, Ванюша заставляет свояков идти в баню с царём, а они не раздеваются. Ванюша силой раздевает их и розаблачает их.]",core,v1_20251230,4,"ERA, Vene",4,"ERA, Vene 4, 367/402 (1)","[""530"", ""530A""]"
era_vene_4_403_2,open,Сказка.,core,v1_20251230,6,"ERA, Vene",4,"ERA, Vene 4, 403/29 (2)","[""707""]"
era_vene_7_95_1,open,"Зверь-Норка (сказка). [Из царского зверинца Зверь-Норка уносит зверей. Царь прказывает сыновья караулить, старшие ночами спят, младший увидель где зверь спрятался по камнем. У старших небыло сил отвалить камень, младших смог. Под камнем дыра - старшие боятся идти. Младший привязывает канат к поясу, велит старшим держать верёвку и спускает в подземное царство. У Зверя-Норки три сестры, которых дурак обещает спасти, с их помощью побеждает Змея. Братья завидуют и решают погубить младшего, он их перехитрил и выжил._x000D_
Во время дождя дурак прикрывает птенцов своей одеждой. Большая мать - мать птенцов - в благодарность выностит наверх дурака с сестрами. Дома младший обличает злых братьев.]",core,v1_20251230,2,"ERA, Vene",7,"ERA, Vene 7, 95/9 (1)","[""301""]"
era_vene_7_71_1,open,"Сказка о Змей Горыныче. [Во дворец царевны попадает молния - она пропадает. Позже оказывается, что она у Змей Горыныча, который хочет на ней женится, но не может, потому что не истёк срок, который скоро заканчивается - о чём царь сообщает сыну, младшему брату царевны Ивану._x000D_
Иван летит в царство Змея на птице из волшебного яйца. Дворец Змея на ледяной горе. Иван убивает Змея мечом, возвращаются с сестрой на птице домой.]",core,v1_20251230,2,"ERA, Vene",7,"ERA, Vene 7, 71/2 (1)","[""301""]"
era_vene_8_210_126,open,"Сказка про грехов. [Баба не любит падчерицу, велит деду топить баню. Баба посылает падчерицу за своей рубахой в баню после того, как все вымылись. Падчерица приходит в баню, а там черти парятся. Девушка просит чертей дать рубашку, они велят зайти в баню. Старший грех сватает её, она просит сначала подарков и три раза на санях объехать. Пока они объежают, кричит петух; черти пропадают, девушка остаётся с богатством.]",core,v1_20251230,3,"ERA, Vene",8,"ERA, Vene 8, 210/1 (126)","[""480A""]"
rkm_vene_1_236_5,open,Сказка о мертвой царевне и семи багатырях. [по сказке А. С. Пушкина],coverage,v1_20251230,1,"RKM, Vene",1,"RKM, Vene 1, 236/44  (5)","[""709""]"
rkm_vene_1_82_47,open,"[Царевич Иван не может найти себе невесту. Три дочки попа вышли поласкать бельё, беседуют об Иване Царевиче и общают чтобы они сделали, если он на них женится; младшая обещает трёх сыновей - ноги в золоте, руки в серебре, в затылке месяц, во лбу солнышко, звёзды в волосах. Царевич жениться на младшей по совету бояр, старшие сёстры тоже набиваются во дворец._x000D_
Жена рожает обещанного сына, его отсылают змее и заменяют на щенка. Второго сына заменяют на котёнка, третьего - на простого ребёнка. Царь велит посадить жену и ребёнка в бочку и пустить по морю. Тридцать лет спустя, выплывают на остров, ветер ""надувает"" город по просьбе сына. Корабельщики рассказывают царю про новый город, сын прилетает с ними обратившись соколом, новая жена царя не хочет ехать смотреть новый город, рассказывая о ""лучшей"" диковинке._x000D_
На третьй приезд новая жена говорит о трёх чудесных сыновьях. По возвращении, сын просит мать замесить хлеб на её грудном молоке, берёт тапор и дубину, идёт искать братьев. Оставляет куски хлеба на трёх перекрёстках, приходит к избушке на курьих ножках, ест и залезает под печку. Братья возвращаются в избушку принося куски хлеба. Вчетвером убегают от змеи, три раза слышат погоню и избавляются от неё с помощью топора и дубинки. Царь приежает на остров, воссоединяется с семьёй; новую жену разрывают 12 жеребцов.]",core,v1_20251230,6,"RKM, Vene",1,"RKM, Vene 1, 82/103 (47)","[""707""]"
tru_vkk_5_36_20,restricted_anon,"Кобылица-Луравица с двенацатимя жеребятами. [У деда с бабой три сына - два умных женатых, третий Иванушка дурачок холостой. Каждую ночь кто-то топчет пшеницу. Братья идут караулить, старшие спят и не видят кобылицу с двенадцатью жеребятами. Младший в карауле не спит, хватает одного жеребёнка, но отпускат, когда жеребица просит за услугу._x000D_
Царь отдат свою дочку за того, кто её на вышке поцелует. Старшие собираются, Иванушка идёт по грибы. В лесу призывает кобылицу, пролезает в ухо - делается красавцем. На кобылице допрыгивает до царевны и целует её. На второй день, царевна вбивает в лоб перстень. Иванушка завязывает лоб. Царь призывает всех мужчин, чтобы найти жениха. Дочки признаёт Иванушку по перстню, сняв повязку.]",core,v1_20251230,4,"TRÜ, VKK",5,"TRÜ, VKK 5, 36/43 (20)","[""530""]"
tru_vkk_5_58_29,restricted_anon,[Морозко].,core,v1_20251230,5,"TRÜ, VKK",5,"TRÜ, VKK 5, 58/62 (29)","[""480D*""]"
tru_vkk_9_28_3,restricted_anon,"Сказка про Ивана-Козлова сына. [Королева съедает окуня, остатки - кухарка, коза - кости. Все трое рожают сыновей. Сыновья ночуют три ночи в доме, в который смог влесть только Иван-Козлов. Стоя в дозоре, он убивает шестиглавых змеев. Идут дальше, находят большую яму, которая ведет на тот свет. Иван-Козлов идёт туда один, сражается со змееями, третий раз оставляет в живых. Свтречает там трёх девушек, у них дворцы - медный, серебрянный, золотой. Братья женятся на них.]",core,v1_20251230,2,"TRÜ, VKK",9,"TRÜ, VKK 9, 28/51 (3)","[""300"", ""300A""]"
tru_vkk_13_23_2,restricted_anon,"Былица про Беса. [Бес разбивает деду руку о столб у кладбища. Дед ловит беса в рукомойник, одевает на беса крест. Дед идёт в церковь - бес рядом, народ его не видит.
Дед и бес ходят в кабак вино пить. Бес требует работу. Камни с берега ворочить не может. Дед посылает с песка цепь свить - не получается; ладью перевернуть на берегу.
Поехали ловить рыбу, бес советует, где лучше лов. Бес работает на деда три года, просит отпустить. Дед снимает крест, бес пропадает. Поп отчитывает проклятье, чтобы беса никто больше не видел.]",core,v1_20251230,2,"TRÜ, VKK",13,"TRÜ, VKK 13, 23/6 (2)","[""331"", ""1174"", ""1168""]"
tru_vkk_13_31_2,restricted_anon,"[Царь продаёт сына дьяволу, потому что не знает о его рождении. Царевич жениться на Марусе-царевне. Возвратившись домой, забывает её и женится снова, голуби напоминают о Марусе, он возвращется к ней.]",core,v1_20251230,2,"TRÜ, VKK",13,"TRÜ, VKK 13, 31/46 (2)","[""313""]"
tru_vkk_13_59_4,restricted_anon,"[Младший брат, Иван-царевич выдает сестёр за ворона, сокола и орла. Идёт искать сестёр. Приходит к старшей, даёт ей платок - если нальётся кровь, то Иван погиб. Средней даёт стакан, младшей гусли с той же целью. _x000D_
Видит поле брани, говорят, что виной Марья-Мария прекрасная королева. Поздже видит Иван посётся лошадь, рядом спит Марья. Думает убить, но передумывает и ложится рядом. Марья просыпается, думает убить Ивана, но передумывает, потому что он не сделал того же._x000D_
Иван и Малья идут к ней вдом, она даёт ему ключи, запрещает ходить в одну из комнат. Иван идёт туда - там весит змей, вокруг него три бочки воды. Змей просит напится из каждой бочки, Иван даёт, змей срывается с цепей._x000D_
Иван и Марья едут на родину Иван, змей следом - отрубает Ивану голову. У сестёр наливаются вещи кровью, ворон, сокол и орёл ловят голубя, чтобы тот принёс живой и мёртвой воды. Оживляют Ивана._x000D_
Марья велит идти к бабушке за конём, не убивать комаров, мух, слепней, что будут жалить, они потом помогут. Иван пасёт бабьих коней в поле, кони разбегаются, комары, мухи, слепни сгоняют._x000D_
Марья и Иван садятся на Коня-Горбунка, скачут на родину, змей их догнать не может._x000D_
справляется с ним на Коне-Горбунке, следуя советам Марьи].",core,v1_20251230,4,"TRÜ, VKK",13,"TRÜ, VKK 13, 59/80 (4)","[""552"", ""302C*"", ""554"", ""556F*""]"
