place_original;place_english;region_english;country_english
Iisaku khk.;Iisaku parish;Ida-Viru County;Estonia
Irboska v.;Izborsk;Pskov Oblast;Russia
Irboska v., Irboska k.;Izborsk;Pskov Oblast;Russia
Irboska v., Miltsõ k.;Miltso village;Pskov Oblast;Russia
Irboska v., Mõla (Малы) k.;Maly village;Pskov Oblast;Russia
Irboska v., Vana-Irboska k.;Izborsk;Pskov Oblast;Russia
Irboska v., Vastsõ k.;Vasttsy village;Pskov Oblast;Russia
Irboska v., Velje k.;Velje village;Pskov Oblast;Russia
Jõhvi khk.;Johvi parish;Ida-Viru County;Estonia
Kalda v., Kolpino (Колпино) k.;Kolpino village;Pskov Oblast;Russia
Kalda v., Medli (Медли) k.;Medli village;Pskov Oblast;Russia
Kalda v., Saare (Шартово) k.;Shartovo village;Pskov Oblast;Russia
Kalda v., Киршино (Kiršino) k.;Kirshino village;Pskov Oblast;Russia
Kasepää v., Kükita (Кюкита) k.;Kyukita village;Jõgeva County;Estonia
Kasepää v., Raja (Раюша) k.;Raja village;Tartu County;Estonia
Kasepää v., Tiheda (Тихотка) k.;Tiheda village;Jõgeva County;Estonia
Kodavere khk.;Kodavere parish;Tartu County;Estonia
Kohtla-Järve raj., Kuru (Куру) k.;Kuru village;Ida-Viru County;Estonia
Kohtla-Järve raj., Uusküla (Уускюла) k.;Uusküla village;Ida-Viru County;Estonia
Kulje v., Zabolotje k.;Zabolotye village;Pskov Oblast;Russia
Kulje v., Киршино (Kiršino) k.;Kirshino village;Pskov Oblast;Russia
Mustvee;Mustvee town;Jõgeva County;Estonia
Mustvee (Посад Черный) l.;Mustvee town;Jõgeva County;Estonia
Mäe v., Lüübnitsa (Любницы);Mäe village;Võru County;Estonia
Peipsiäärne v., Nina (Нос) k.;Nina village;Tartu County;Estonia
Petseri l.;Pechory town;Pskov Oblast;Russia
Petserimaa;Petseri County;;Russia & Estonia
Satserinna v., Satserinna k.;Saatse village;Võru County;Estonia
Satserinna v., Zahodõ k.;Zahodõ village;Võru County;Estonia
Skarjatina v., Skamja (Скамья) k.;Skamya village;Pskov Oblast;Russia
Skarjatina v., Skarjatina (Скарятино) k.;Skaryatino village;Pskov Oblast;Russia
Tallinna linn;Tallinn;Harju County;Estonia
Tartu linn;Tartu;Tartu County;Estonia
Torma khk.;Torma parish;Jõgeva County;Estonia
Vaivara khk.;Vaivara parish;Ida-Viru County;Estonia
Vasknarva v., Djuk-Perevolok (Дюк Переволока) k.;Djuk-Perevolok village;Leningrad Oblast;Russia
Vasknarva v., Kuningaküla (Князь-село) k.;Kuningaküla village (Knyaz-Selo);Ida-Viru County;Estonia
Vasknarva v., Suur Perevoloka (Большая Переволока) k.;Perevolok village;Leningrad Oblast;Russia
Vasknarva v., Vasknarva (Васкнарва, Сыренец) k.;Vasknarva village (Syrenets);Ida-Viru County;Estonia
Venemaa, Oudova mk.;Oudova County (Gdov uezd);Pskov Oblast;Russia
Venemaa, Pihkva obl., Irboska raj., Dubrovka (Дубровка) k.;Dubrovka village;Pskov Oblast;Russia
Venemaa, Pihkva obl., Opotška (Опочецский) raj.;Opochka District;Pskov Oblast;Russia
Venemaa, Pihkva obl., Petseri raj., Budoviži (Будовиж) k.;Budovizh village;Pskov Oblast;Russia
Venemaa, Pihkva obl., Petseri raj., Krjakovo (Кряково) k.;Kryakovo village;Pskov Oblast;Russia
Venemaa, Pihkva obl., Petseri raj., Lisje (Лисье) k.;Lisye village;Pskov Oblast;Russia
Venemaa, Pihkva obl., Petseri raj., Moložva (Моложва) k.;Molozhva village;Pskov Oblast;Russia
Venemaa, Pihkva obl., Petseri raj., Pankjavitsa (Паниковичи) k.;Panikovichi village;Pskov Oblast;Russia
Venemaa, Pihkva obl., Petseri raj., Vasstsõ (Вастцы) k.;Vasttsy village;Pskov Oblast;Russia
Venemaa, Pihkva obl., Petseri raj., д. Залесье;Zalesye village;Pskov Oblast;Russia
Venemaa, Pihkva obl., Petseri raj., пос. Лавры (Laura);Lavry settlement;Pskov Oblast;Russia
Venemaa, Pihkva obl., Pihkva raj., Belova nim. saar (остров им. Белова);Belov Island (imeni Belova);Pskov Oblast;Russia
Venemaa, Pihkva obl., Pihkva raj., Zalita nim. saar (остров им. Залита);Zalit Island (imeni Zalita);Pskov Oblast;Russia
Venemaa, Podoolia (Подольская) kub.;Podolia Governorate (Podol’skaja gubernija);Khmelnytskyi / Vinnytsia regions;Ukraine
Venemaa, Псковский уезд, дер. Листовки;Listovki village;Pskov Oblast;Russia
Višnjakovo k.;Vishnyakovo village;Pskov Oblast;Russia
Voka mõis;Voka Manor Estate;Ida-Viru County;Estonia
välismaa;abroad;;
Изборская волость (Irboska), Vana-Irboska;Izborsk;Pskov Oblast;Russia
Изборская волость (Irboska), д. Мильцы;Miltsy village;Pskov Oblast;Russia
Изборская волость, д. Баршевицы;Barshevitsy village;Pskov Oblast;Russia
Изборская волость, д. Вастцы;Vasttsy village;Pskov Oblast;Russia
Изборская волость, д. Залавья;Zalavya village;Pskov Oblast;Russia
Изборская волость, д. Зуево;Zuevo village;Pskov Oblast;Russia
Изборская волость, д. Конечки;Konechki village;Pskov Oblast;Russia
Изборская волость, д. Петровка;Petrovka village;Pskov Oblast;Russia
Изборская волость, д. Старый Изборск;Izborsk;Pskov Oblast;Russia
Печерский (Petseri) р-н., д. Городище;Gorodishche village;Pskov Oblast;Russia
Печёрский уезд, д. Подграмье;Podgramye village;Pskov Oblast;Russia
д. Старый Изборск;Izborsk;Pskov Oblast;Russia