min_score,min_delta,n,coverage,precision
0.1,0.0,40,1.0,0.3
0.1,0.02,30,0.75,0.36666666666666664
0.1,0.04,26,0.65,0.4230769230769231
0.1,0.06,18,0.45,0.5555555555555556
0.1,0.08,16,0.4,0.625
0.1,0.1,14,0.35,0.6428571428571429
0.1,0.12,12,0.3,0.75
0.1,0.14,11,0.275,0.8181818181818182
0.1,0.16,9,0.225,0.8888888888888888
0.1,0.18,9,0.225,0.8888888888888888
0.1,0.2,7,0.175,0.8571428571428571
0.1,0.22,7,0.175,0.8571428571428571
0.1,0.24,6,0.15,1.0
0.1,0.26,6,0.15,1.0
0.1,0.28,6,0.15,1.0
0.1,0.3,6,0.15,1.0
0.1,0.32,6,0.15,1.0
0.1,0.34,5,0.125,1.0
0.1,0.36,5,0.125,1.0
0.1,0.38,5,0.125,1.0
0.1,0.4,5,0.125,1.0
0.1,0.42,5,0.125,1.0
0.1,0.44,4,0.1,1.0
0.1,0.46,3,0.075,1.0
0.1,0.48,3,0.075,1.0
0.1,0.5,3,0.075,1.0
0.12,0.0,40,1.0,0.3
0.12,0.02,30,0.75,0.36666666666666664
0.12,0.04,26,0.65,0.4230769230769231
0.12,0.06,18,0.45,0.5555555555555556
0.12,0.08,16,0.4,0.625
0.12,0.1,14,0.35,0.6428571428571429
0.12,0.12,12,0.3,0.75
0.12,0.14,11,0.275,0.8181818181818182
0.12,0.16,9,0.225,0.8888888888888888
0.12,0.18,9,0.225,0.8888888888888888
0.12,0.2,7,0.175,0.8571428571428571
0.12,0.22,7,0.175,0.8571428571428571
0.12,0.24,6,0.15,1.0
0.12,0.26,6,0.15,1.0
0.12,0.28,6,0.15,1.0
0.12,0.3,6,0.15,1.0
0.12,0.32,6,0.15,1.0
0.12,0.34,5,0.125,1.0
0.12,0.36,5,0.125,1.0
0.12,0.38,5,0.125,1.0
0.12,0.4,5,0.125,1.0
0.12,0.42,5,0.125,1.0
0.12,0.44,4,0.1,1.0
0.12,0.46,3,0.075,1.0
0.12,0.48,3,0.075,1.0
0.12,0.5,3,0.075,1.0
0.14,0.0,40,1.0,0.3
0.14,0.02,30,0.75,0.36666666666666664
0.14,0.04,26,0.65,0.4230769230769231
0.14,0.06,18,0.45,0.5555555555555556
0.14,0.08,16,0.4,0.625
0.14,0.1,14,0.35,0.6428571428571429
0.14,0.12,12,0.3,0.75
0.14,0.14,11,0.275,0.8181818181818182
0.14,0.16,9,0.225,0.8888888888888888
0.14,0.18,9,0.225,0.8888888888888888
0.14,0.2,7,0.175,0.8571428571428571
0.14,0.22,7,0.175,0.8571428571428571
0.14,0.24,6,0.15,1.0
0.14,0.26,6,0.15,1.0
0.14,0.28,6,0.15,1.0
0.14,0.3,6,0.15,1.0
0.14,0.32,6,0.15,1.0
0.14,0.34,5,0.125,1.0
0.14,0.36,5,0.125,1.0
0.14,0.38,5,0.125,1.0
0.14,0.4,5,0.125,1.0
0.14,0.42,5,0.125,1.0
0.14,0.44,4,0.1,1.0
0.14,0.46,3,0.075,1.0
0.14,0.48,3,0.075,1.0
0.14,0.5,3,0.075,1.0
0.16,0.0,40,1.0,0.3
0.16,0.02,30,0.75,0.36666666666666664
0.16,0.04,26,0.65,0.4230769230769231
0.16,0.06,18,0.45,0.5555555555555556
0.16,0.08,16,0.4,0.625
0.16,0.1,14,0.35,0.6428571428571429
0.16,0.12,12,0.3,0.75
0.16,0.14,11,0.275,0.8181818181818182
0.16,0.16,9,0.225,0.8888888888888888
0.16,0.18,9,0.225,0.8888888888888888
0.16,0.2,7,0.175,0.8571428571428571
0.16,0.22,7,0.175,0.8571428571428571
0.16,0.24,6,0.15,1.0
0.16,0.26,6,0.15,1.0
0.16,0.28,6,0.15,1.0
0.16,0.3,6,0.15,1.0
0.16,0.32,6,0.15,1.0
0.16,0.34,5,0.125,1.0
0.16,0.36,5,0.125,1.0
0.16,0.38,5,0.125,1.0
0.16,0.4,5,0.125,1.0
0.16,0.42,5,0.125,1.0
0.16,0.44,4,0.1,1.0
0.16,0.46,3,0.075,1.0
0.16,0.48,3,0.075,1.0
0.16,0.5,3,0.075,1.0
0.18,0.0,40,1.0,0.3
0.18,0.02,30,0.75,0.36666666666666664
0.18,0.04,26,0.65,0.4230769230769231
0.18,0.06,18,0.45,0.5555555555555556
0.18,0.08,16,0.4,0.625
0.18,0.1,14,0.35,0.6428571428571429
0.18,0.12,12,0.3,0.75
0.18,0.14,11,0.275,0.8181818181818182
0.18,0.16,9,0.225,0.8888888888888888
0.18,0.18,9,0.225,0.8888888888888888
0.18,0.2,7,0.175,0.8571428571428571
0.18,0.22,7,0.175,0.8571428571428571
0.18,0.24,6,0.15,1.0
0.18,0.26,6,0.15,1.0
0.18,0.28,6,0.15,1.0
0.18,0.3,6,0.15,1.0
0.18,0.32,6,0.15,1.0
0.18,0.34,5,0.125,1.0
0.18,0.36,5,0.125,1.0
0.18,0.38,5,0.125,1.0
0.18,0.4,5,0.125,1.0
0.18,0.42,5,0.125,1.0
0.18,0.44,4,0.1,1.0
0.18,0.46,3,0.075,1.0
0.18,0.48,3,0.075,1.0
0.18,0.5,3,0.075,1.0
0.2,0.0,40,1.0,0.3
0.2,0.02,30,0.75,0.36666666666666664
0.2,0.04,26,0.65,0.4230769230769231
0.2,0.06,18,0.45,0.5555555555555556
0.2,0.08,16,0.4,0.625
0.2,0.1,14,0.35,0.6428571428571429
0.2,0.12,12,0.3,0.75
0.2,0.14,11,0.275,0.8181818181818182
0.2,0.16,9,0.225,0.8888888888888888
0.2,0.18,9,0.225,0.8888888888888888
0.2,0.2,7,0.175,0.8571428571428571
0.2,0.22,7,0.175,0.8571428571428571
0.2,0.24,6,0.15,1.0
0.2,0.26,6,0.15,1.0
0.2,0.28,6,0.15,1.0
0.2,0.3,6,0.15,1.0
0.2,0.32,6,0.15,1.0
0.2,0.34,5,0.125,1.0
0.2,0.36,5,0.125,1.0
0.2,0.38,5,0.125,1.0
0.2,0.4,5,0.125,1.0
0.2,0.42,5,0.125,1.0
0.2,0.44,4,0.1,1.0
0.2,0.46,3,0.075,1.0
0.2,0.48,3,0.075,1.0
0.2,0.5,3,0.075,1.0
0.22,0.0,40,1.0,0.3
0.22,0.02,30,0.75,0.36666666666666664
0.22,0.04,26,0.65,0.4230769230769231
0.22,0.06,18,0.45,0.5555555555555556
0.22,0.08,16,0.4,0.625
0.22,0.1,14,0.35,0.6428571428571429
0.22,0.12,12,0.3,0.75
0.22,0.14,11,0.275,0.8181818181818182
0.22,0.16,9,0.225,0.8888888888888888
0.22,0.18,9,0.225,0.8888888888888888
0.22,0.2,7,0.175,0.8571428571428571
0.22,0.22,7,0.175,0.8571428571428571
0.22,0.24,6,0.15,1.0
0.22,0.26,6,0.15,1.0
0.22,0.28,6,0.15,1.0
0.22,0.3,6,0.15,1.0
0.22,0.32,6,0.15,1.0
0.22,0.34,5,0.125,1.0
0.22,0.36,5,0.125,1.0
0.22,0.38,5,0.125,1.0
0.22,0.4,5,0.125,1.0
0.22,0.42,5,0.125,1.0
0.22,0.44,4,0.1,1.0
0.22,0.46,3,0.075,1.0
0.22,0.48,3,0.075,1.0
0.22,0.5,3,0.075,1.0
0.24,0.0,40,1.0,0.3
0.24,0.02,30,0.75,0.36666666666666664
0.24,0.04,26,0.65,0.4230769230769231
0.24,0.06,18,0.45,0.5555555555555556
0.24,0.08,16,0.4,0.625
0.24,0.1,14,0.35,0.6428571428571429
0.24,0.12,12,0.3,0.75
0.24,0.14,11,0.275,0.8181818181818182
0.24,0.16,9,0.225,0.8888888888888888
0.24,0.18,9,0.225,0.8888888888888888
0.24,0.2,7,0.175,0.8571428571428571
0.24,0.22,7,0.175,0.8571428571428571
0.24,0.24,6,0.15,1.0
0.24,0.26,6,0.15,1.0
0.24,0.28,6,0.15,1.0
0.24,0.3,6,0.15,1.0
0.24,0.32,6,0.15,1.0
0.24,0.34,5,0.125,1.0
0.24,0.36,5,0.125,1.0
0.24,0.38,5,0.125,1.0
0.24,0.4,5,0.125,1.0
0.24,0.42,5,0.125,1.0
0.24,0.44,4,0.1,1.0
0.24,0.46,3,0.075,1.0
0.24,0.48,3,0.075,1.0
0.24,0.5,3,0.075,1.0
0.26,0.0,37,0.925,0.32432432432432434
0.26,0.02,30,0.75,0.36666666666666664
0.26,0.04,26,0.65,0.4230769230769231
0.26,0.06,18,0.45,0.5555555555555556
0.26,0.08,16,0.4,0.625
0.26,0.1,14,0.35,0.6428571428571429
0.26,0.12,12,0.3,0.75
0.26,0.14,11,0.275,0.8181818181818182
0.26,0.16,9,0.225,0.8888888888888888
0.26,0.18,9,0.225,0.8888888888888888
0.26,0.2,7,0.175,0.8571428571428571
0.26,0.22,7,0.175,0.8571428571428571
0.26,0.24,6,0.15,1.0
0.26,0.26,6,0.15,1.0
0.26,0.28,6,0.15,1.0
0.26,0.3,6,0.15,1.0
0.26,0.32,6,0.15,1.0
0.26,0.34,5,0.125,1.0
0.26,0.36,5,0.125,1.0
0.26,0.38,5,0.125,1.0
0.26,0.4,5,0.125,1.0
0.26,0.42,5,0.125,1.0
0.26,0.44,4,0.1,1.0
0.26,0.46,3,0.075,1.0
0.26,0.48,3,0.075,1.0
0.26,0.5,3,0.075,1.0
0.28,0.0,31,0.775,0.3870967741935484
0.28,0.02,27,0.675,0.4074074074074074
0.28,0.04,25,0.625,0.44
0.28,0.06,17,0.425,0.5882352941176471
0.28,0.08,16,0.4,0.625
0.28,0.1,14,0.35,0.6428571428571429
0.28,0.12,12,0.3,0.75
0.28,0.14,11,0.275,0.8181818181818182
0.28,0.16,9,0.225,0.8888888888888888
0.28,0.18,9,0.225,0.8888888888888888
0.28,0.2,7,0.175,0.8571428571428571
0.28,0.22,7,0.175,0.8571428571428571
0.28,0.24,6,0.15,1.0
0.28,0.26,6,0.15,1.0
0.28,0.28,6,0.15,1.0
0.28,0.3,6,0.15,1.0
0.28,0.32,6,0.15,1.0
0.28,0.34,5,0.125,1.0
0.28,0.36,5,0.125,1.0
0.28,0.38,5,0.125,1.0
0.28,0.4,5,0.125,1.0
0.28,0.42,5,0.125,1.0
0.28,0.44,4,0.1,1.0
0.28,0.46,3,0.075,1.0
0.28,0.48,3,0.075,1.0
0.28,0.5,3,0.075,1.0
0.3,0.0,22,0.55,0.45454545454545453
0.3,0.02,20,0.5,0.5
0.3,0.04,20,0.5,0.5
0.3,0.06,17,0.425,0.5882352941176471
0.3,0.08,16,0.4,0.625
0.3,0.1,14,0.35,0.6428571428571429
0.3,0.12,12,0.3,0.75
0.3,0.14,11,0.275,0.8181818181818182
0.3,0.16,9,0.225,0.8888888888888888
0.3,0.18,9,0.225,0.8888888888888888
0.3,0.2,7,0.175,0.8571428571428571
0.3,0.22,7,0.175,0.8571428571428571
0.3,0.24,6,0.15,1.0
0.3,0.26,6,0.15,1.0
0.3,0.28,6,0.15,1.0
0.3,0.3,6,0.15,1.0
0.3,0.32,6,0.15,1.0
0.3,0.34,5,0.125,1.0
0.3,0.36,5,0.125,1.0
0.3,0.38,5,0.125,1.0
0.3,0.4,5,0.125,1.0
0.3,0.42,5,0.125,1.0
0.3,0.44,4,0.1,1.0
0.3,0.46,3,0.075,1.0
0.3,0.48,3,0.075,1.0
0.3,0.5,3,0.075,1.0
0.32,0.0,16,0.4,0.625
0.32,0.02,16,0.4,0.625
0.32,0.04,16,0.4,0.625
0.32,0.06,16,0.4,0.625
0.32,0.08,15,0.375,0.6666666666666666
0.32,0.1,14,0.35,0.6428571428571429
0.32,0.12,12,0.3,0.75
0.32,0.14,11,0.275,0.8181818181818182
0.32,0.16,9,0.225,0.8888888888888888
0.32,0.18,9,0.225,0.8888888888888888
0.32,0.2,7,0.175,0.8571428571428571
0.32,0.22,7,0.175,0.8571428571428571
0.32,0.24,6,0.15,1.0
0.32,0.26,6,0.15,1.0
0.32,0.28,6,0.15,1.0
0.32,0.3,6,0.15,1.0
0.32,0.32,6,0.15,1.0
0.32,0.34,5,0.125,1.0
0.32,0.36,5,0.125,1.0
0.32,0.38,5,0.125,1.0
0.32,0.4,5,0.125,1.0
0.32,0.42,5,0.125,1.0
0.32,0.44,4,0.1,1.0
0.32,0.46,3,0.075,1.0
0.32,0.48,3,0.075,1.0
0.32,0.5,3,0.075,1.0
0.34,0.0,15,0.375,0.6666666666666666
0.34,0.02,15,0.375,0.6666666666666666
0.34,0.04,15,0.375,0.6666666666666666
0.34,0.06,15,0.375,0.6666666666666666
0.34,0.08,15,0.375,0.6666666666666666
0.34,0.1,14,0.35,0.6428571428571429
0.34,0.12,12,0.3,0.75
0.34,0.14,11,0.275,0.8181818181818182
0.34,0.16,9,0.225,0.8888888888888888
0.34,0.18,9,0.225,0.8888888888888888
0.34,0.2,7,0.175,0.8571428571428571
0.34,0.22,7,0.175,0.8571428571428571
0.34,0.24,6,0.15,1.0
0.34,0.26,6,0.15,1.0
0.34,0.28,6,0.15,1.0
0.34,0.3,6,0.15,1.0
0.34,0.32,6,0.15,1.0
0.34,0.34,5,0.125,1.0
0.34,0.36,5,0.125,1.0
0.34,0.38,5,0.125,1.0
0.34,0.4,5,0.125,1.0
0.34,0.42,5,0.125,1.0
0.34,0.44,4,0.1,1.0
0.34,0.46,3,0.075,1.0
0.34,0.48,3,0.075,1.0
0.34,0.5,3,0.075,1.0
0.36,0.0,14,0.35,0.7142857142857143
0.36,0.02,14,0.35,0.7142857142857143
0.36,0.04,14,0.35,0.7142857142857143
0.36,0.06,14,0.35,0.7142857142857143
0.36,0.08,14,0.35,0.7142857142857143
0.36,0.1,13,0.325,0.6923076923076923
0.36,0.12,12,0.3,0.75
0.36,0.14,11,0.275,0.8181818181818182
0.36,0.16,9,0.225,0.8888888888888888
0.36,0.18,9,0.225,0.8888888888888888
0.36,0.2,7,0.175,0.8571428571428571
0.36,0.22,7,0.175,0.8571428571428571
0.36,0.24,6,0.15,1.0
0.36,0.26,6,0.15,1.0
0.36,0.28,6,0.15,1.0
0.36,0.3,6,0.15,1.0
0.36,0.32,6,0.15,1.0
0.36,0.34,5,0.125,1.0
0.36,0.36,5,0.125,1.0
0.36,0.38,5,0.125,1.0
0.36,0.4,5,0.125,1.0
0.36,0.42,5,0.125,1.0
0.36,0.44,4,0.1,1.0
0.36,0.46,3,0.075,1.0
0.36,0.48,3,0.075,1.0
0.36,0.5,3,0.075,1.0
0.38,0.0,10,0.25,0.9
0.38,0.02,10,0.25,0.9
0.38,0.04,10,0.25,0.9
0.38,0.06,10,0.25,0.9
0.38,0.08,10,0.25,0.9
0.38,0.1,10,0.25,0.9
0.38,0.12,10,0.25,0.9
0.38,0.14,10,0.25,0.9
0.38,0.16,9,0.225,0.8888888888888888
0.38,0.18,9,0.225,0.8888888888888888
0.38,0.2,7,0.175,0.8571428571428571
0.38,0.22,7,0.175,0.8571428571428571
0.38,0.24,6,0.15,1.0
0.38,0.26,6,0.15,1.0
0.38,0.28,6,0.15,1.0
0.38,0.3,6,0.15,1.0
0.38,0.32,6,0.15,1.0
0.38,0.34,5,0.125,1.0
0.38,0.36,5,0.125,1.0
0.38,0.38,5,0.125,1.0
0.38,0.4,5,0.125,1.0
0.38,0.42,5,0.125,1.0
0.38,0.44,4,0.1,1.0
0.38,0.46,3,0.075,1.0
0.38,0.48,3,0.075,1.0
0.38,0.5,3,0.075,1.0
0.4,0.0,8,0.2,0.875
0.4,0.02,8,0.2,0.875
0.4,0.04,8,0.2,0.875
0.4,0.06,8,0.2,0.875
0.4,0.08,8,0.2,0.875
0.4,0.1,8,0.2,0.875
0.4,0.12,8,0.2,0.875
0.4,0.14,8,0.2,0.875
0.4,0.16,8,0.2,0.875
0.4,0.18,8,0.2,0.875
0.4,0.2,7,0.175,0.8571428571428571
0.4,0.22,7,0.175,0.8571428571428571
0.4,0.24,6,0.15,1.0
0.4,0.26,6,0.15,1.0
0.4,0.28,6,0.15,1.0
0.4,0.3,6,0.15,1.0
0.4,0.32,6,0.15,1.0
0.4,0.34,5,0.125,1.0
0.4,0.36,5,0.125,1.0
0.4,0.38,5,0.125,1.0
0.4,0.4,5,0.125,1.0
0.4,0.42,5,0.125,1.0
0.4,0.44,4,0.1,1.0
0.4,0.46,3,0.075,1.0
0.4,0.48,3,0.075,1.0
0.4,0.5,3,0.075,1.0
0.42,0.0,8,0.2,0.875
0.42,0.02,8,0.2,0.875
